,comment,score
10,다 좋은데요... 전화기 사용할 때 대화상자가 너무 크다보니까 클린트 위로는 안보여서 전화를 걸 수가 없어요ㅠㅠ 로빈한테도 전화 걸려고 했는데 안되네요... 대화 상자 크기 조절하는 메뉴가 있었음 좋겠어요. 가끔 대화 중에선택지 많이 나오는 대화를 할 때면 뭐라고 물어봤는지도 모른 채로 선택지를 골라야 할 만큼 대화상자가 너무 커서 불편합니다ㅠㅠ,4
11,"버그가 있습니다, 화산 칼데라 제련소에 이리듐 밴드를 넣었다 뺐더니 이리듐 밴드의 아이템 끌어들이기 기능이 사라졌습니다, 그리고 최대 기력 증가 버프를 받고난뒤 잠을 자게되면 기력은 그대로 올라가있고 버프만 사라져서 기력을 무한정으로 늘릴 수 있게 되었습니다, 이 외에도 다양한 버그로 인해 게임 플레이에 불편을 줬습니다, 최대한 빠르고 정확하게 버그를 고쳐주시면 정말 감사하겠습니다.",2
12,"스타듀밸리를 재밌게 하는 유저입니다. 그런데 이번에 1.5로 업데이트를 하면서 오류가 몇가지 생긴거 같습니다. 침대에 들어가 저장을 할 때마다 이미 그 전에 찍었었던 낚시 스킬 선택창이 계속 뜹니다. 그리고 로빈이 걷는 시늉도 안 하고 미끄러지듯이 갈 수 없는 곳으로 이동한다거나, 이어서 할 때마다 아이템창 크기가 커져있고, 자동채집기에 있는 달걀이나 우유를 꺼내려고 터치하지만 계속 꺼낼 수 없어서 곡괭이로 부수고 다시 설치하려고 해도 애초에 잘 깨지지도 않습니다. +해변농장에서 나오는 보급품 상자를 아무리 눌러도 안 뜯어져요... 평소에 재밌게 스타듀밸리를 하던 사람으로서 나중에 이 오류가 고쳐지면 좋겠습니다.",5
13,아직 잔오류가 많긴 하지만 업데이트 너무 좋아요 꿀잼 + 통화할 때 선택지 칸이 너무 커서 로빈이 안 보여요.(말론까지 추가된 후) ++ 특정 농장주에게 튕김현상이 발생하네요. 침대에 누워도 튕기고 시간 오버해서 기절해도 튕기고...(해결됨) +++ 쥬니모카트 화면이 너무 작아요(해결됨) ++++ 전화기의 선택지 창이 너무 커요. 전에는 로빈 간신히 클릭할 수 있었는데 지금은 완전히 잘려 보이지도 않아요. +++++ 알렉스 해변 이벤트에 오류가 있네요. 그리드볼 선수가 될거라는 말에 라는 선택지가 활성화되어 있지 않아요.(영어는 되는데 한국어는 안 되네요),5
14,"핸드폰 화면이 큰데도 불구하고 대사가 짤리거나 창닫기(X)가 폰 화면으로 벗어나서 좀 불편해서 당장 게임을 진행하고 싶은 마음에 설정을 좀 건들려 봤습니다! 참고하시면 도움이 될꺼에요! 제 폰 기준으로는 설정 들어가셔서 메뉴패딩90, 툴바패딩20, 툴바크기50, 날짜상자크기75 정도하니까 전에 자동적으로 맞춰진 크기 비슷하게 됐어요! 설정하실때 날짜상자크기 너무 작게 줄이시면 설정이 눌러지지 않기 때문에 조심해서 조절하시고 만약 작게 설정했다싶으면 게임삭제하고 다시 설치하시면 설정 초기화 됩니다..! 이 글은 당장에 게임하고 싶은 사람들에게 도움이 될만하다고 생각해서 작정했습니다!",5
15,"스타듀밸리 너무 재밌게 하고 있습니다. 이번 업데이트로 PC게임이랑 다를바 없다는 느낌이 들어서 더욱 재밌어졌어요. 얼마만의 모바일 업뎃이라 진짜 너무 감사했거든요. 새해 복 많이 받으시고, 건강하세요. -----빠른 리뷰 반영 감사드립니다.----- 그런데 여전히 온실바닥에 실선이 보이고, 온실바닥에 놓아둔 나무상자는 열리지 않습니다. 나중에야 어쩌다 알아냈는데,.. 화면을 키워야 상자가 열리더군요. 이러한 점은 동물축사에 있는 자동채집기에서도 마찬가지였습니다. 밑면과 접촉되면 가끔은 알도 수집되지 않습니다. 전에는 화면크게하지 않아도 괜찮았습니다. 그리고 개발자님!! 제발 모바일 스듀의 겨울에서 눈은 전처럼 내리게해주세요. 아님 pc스듀처럼 눈내리는거 보이기조절 부탁드립니다. 재업뎃 부탁드립니다. 업뎃 감사드려요~",4
16,업뎃한 뒤로 배경 이미지는 자꾸 깨지고 박물관에 기부창이 이상하게 뜨고 레벨업 능력 선택치 창은 하루 지날 때 마다 계속 뜨고 다른 능력치는 하나도 안 올라가요... 이상태로 캐릭터를 또 만들기도 귀찮고 계속 플레이 하기도 뭐해요ㅠㅠ 재밌게 하고싶어요. 빨리 고쳐주세요...,3
17,스타듀밸리 모바일 유저입니다. 드디어 기다리고 기다리던 업뎃인데...저만 그런건지...ㅠㅠ 일단 해변농장 플레이해보는 중인데 터치가 잘 안먹히고 렉이 심해졌습니다... 폰트가 너무 큽니다. 하지만 저 두가지 오류보다 더 답답한건 해변농장만의 포인트라고 할 수 있는 보급품상자를 부술수가 없습니다 ㅜㅜ;; 낫 도끼 호미 무기 등등 휘둘러봐도 헛스윙만 할 뿐..인식하지 못하는 것 같습니다. 단단한 나무를 캐는도중 자꾸 튕깁니다... 아직 오류가 많은 것 같은데 빨리 해결되면 좋겠습니다 ㅜ 게임 진행이 너무 불편하네요..,4
18,게임은 좋은데 계속 버그가 걸리네요... 캐릭터가 움직이지도 터치도 안되고 제 폰이 문제인건가요... 다음날로 게임을 완전히 끄고 다시 들어와 아침에서 다시 시작해도 똑같은 시간에 계속 멈추네요.. 이대로 삭제되면 진짜 개빡칠득합니다 고쳐주세요.....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,4
19,"게임 재미있게 하고 있어요. 근데 마을회관 번들 완성하려고 아이템 넣었더니 캐릭터와 시간이 멈추고 움직이지 않더라구요. 퀘스트창, 메뉴창 전부 클릭이 안됩니다. 버그같은데 여러 오류들 수정 부탁해요",5
20,업데이트하고 몇번 더 기다리면서 오류개선되길바라고있는데요 대화창?선택창?이 여전히 큽니다. 그래도 겜할때 크게 지장은없어서 하고있긴한데 전화기 사용할때 로빈 선택지가 넘쳐서 잘리는거보고 글 남겨봅니다.. 대화창?선택창?크기 조절할수있었으면 좋겠네요,4
21,"1.5 업데이트 이후에 자잘한 버그들이 많이 생겼습니다. 달걀이 안 주워진다거나 동물들 터치가 안 되고 렉도 전보다 심해졌어요. 진짜 미치셨습니까 휴먼..? 앱 지우고 다시 까니까 하던 캐릭터가 가을 24일로 과거여행 왔는데요,, 전 분명 겨울 14일즈음 플레이 하고 있었는데 이렇게 세이브 다 날릴거면 세이브 왜 한거임 빠른 시일 내에 버그들 고쳐주셨으면 합니다.",1
22,스킬선택 창이 스킬을 선택해도 계속 나오는 오류가있네요... 그외에도 튕기거나 원래는 못가는 절벽 위에 가는 버그가 있지만 재밌어서 그냥 이전 세이브를 로드해서 하고 있습니다. 오류들이 고쳐지면 좋겠네요....,3
23,계정연동 좀 되게 해주세요. 다른 게임들은 로그인만 하면 다른기기에서도 쉽게 플레이를 이어서 할 수 있는데 스듀는 그런게 아니라 너무 답답합니다. 업데이트 이후로 세이브 파일 찾는것도 복잡해져서 더 답답합니다. 요즘 같은 시대에 구시대적 환경은 게임 즐기는데 불편합니다.,3
24,스타듀밸리 거의 2년동안 한 사람인데 모바일 스타듀밸리 조작하는 것도 쉽고 힐링이여서 별로 안질림 (근데 한번 안하면 계속 안하게 됨... )일단 모바일 스타듀밸리 진짜로 다 좋은데 부족한 점이 멀티가 안된다는거임 하.. pc로 하면 되지않냐 라고 생각할 수 있을텐데 솔직히 모바일이 더 재밌음ㅋ ㅋㅋㄹㅃㅃ 모바일 멀티 되면 대가리 박고 절 하겠음 제작자님... 모바일 멀티 지원 해주세요... 부탁 드립니다 ㅜㅜ 난 멀티 지원 해주실 때 까지 스타듀밸리 안하겠음ㅋ 멀티 지원 제발제발 해주세여ㅜㅜ,4
25,이번에 업데이터 되면서 더 다양해진것같아 재밌게 하고 있는데 자꾸 튕겨서 저장도 못하고 똑같은걸 계속해야되는 상황입니다.너무 심하게 튕깁니다. 업데이터 전에는 이런증상이 없었는데 다시 점검해주셨으면 하네요. 게임은 정말 돈아깝지 않고 재밌어요~,5
26,업데이트 후에 전화기 버튼이 너무 커져서 로빈에게 전화할 수 없습니다. 스네일 박사의 꽃 갯수 세기 퀘스트에서 꽃의 숫자를 선택하는 창이 너무 커져서 올바른 버튼을 누를 수가 없습니다. 적절한 크기로 수정해주세요. 감사합니다,4
27,만족스럽습니다 pc는 제가 어딜가거나 할때 못해서 아쉬워했는데 pc 보다 싼편에 재미도 있으니 pc보단 요즘 모바일 하는데 어떤분은 멀티가 안된다며 불편해 하시지만 모바일은 멀티 지원이 안돼는데 불편해 하시는게 이해가 잘안가지만 여러 프리미엄 겜 중에선 탑티어 일정도로 재미있습니다,5
28,업데이트 후 오류가 생겼어요 ㅠㅅ ㅠ 가게에 선택화면?? 에서 버튼과 글자가 너무 커서 일부 짤려요. 전화기 사용시에도 목록에 글씨커서 일부만 나오고.. 스크로바도 없어서 안보이는 건 선택 할 수가 없어요,3
29,1.5 업데이트로 드디어 진저섬에 가게 돼서 좋습니다. 한국어판으로 도박도 가능하고 전체적으로 즐길 컨텐츠가 늘어 신나게 플레이하고 있습니다. 다만 이전에 없던 렉이 심해져서 진행이 어렵습니다. 세줄기 지렁이 있는 부분을 파면 아예 게임이 멈춰서 끄고 그 하루를 다시 시작해야 하고 이전처럼 아이템 누르는게 잘 안됩니다. 그리고 글씨체 크기가 들쑥날쑥해 대화창이 너무 커져 불편이 있습니다. +)그리고 저장하려고 할때마다 튕기네요. 벌써 같은 날을 5번 넘게 반복하는데 너무 힘드네요. 얼른 버그가 고쳐지면 좋겠습니다.,3
30,이번 업데이트를 하면서 두손가락으로 화면이 움직여지지 않는 것과 상태창과 같은 박스들 비율이 달라져서 불편해지는 패치가 되었더라고요... 특히 두손가락으로 움직여지지 않아서 쓸데없이 이동을 더 많이해야하는 문제가 정말 귀찮게해서 게임하기가 너무 힘드네요ㅜㅜ 잘 안하게 되는 느낌입니다 다시 원래대로 바꿔주셨으면 해요...,4
31,"모바일과 PC 버전 모두 즐기고 있는 플레이어입니다. PC 버전에 비해 업데이트가 현저히 느리긴 하지만 1인 개발인데다 신작 게임 개발로 많이 바쁘실 테니 이해해요. PC 버전에는 없지만 정말 유용한 자동 전투와 중간 저장 기능도 있구요(개인적으로 PC 버전에도 추가됐으면 하는 바람입니다). 컨트롤은 PC 버전에 익숙하시다면 초반엔 불편하실 수 있지만, 익숙해지면 오히려 모바일이 더 편하기 때문에 걱정하지 않으셔도 될 것 같습니다. 또 멀티 플레이 기능을 찾으시는 분들이 많은 것 같은데, 개발자 분께서 모바일 멀티 플레이는 추가할 예정이 없으시다고 하셨어요⋯!! 다만 비공식 모바일 멀티 모드가 있으니 관심 있으신 분들은 이용해 보시면 좋을 것 같아요. 그럼 다들 즐스듀 하시고, 제 리뷰가 구매를 망설이시는 분들께 도움이 됐길 바라요 🥰",5
32,스타듀밸리 재밌게 하고 있는 유저 중 한 명입니다 최근 모바일 1.5 업데이트에서 여러가지가 생기면서 몇 가지 오류들이 생겼는데요 아이템은 클릭되는데 캐릭터가 움직이지 않거나 달성한 레벨이 잘 때마다 계속 뜨는 오류 등등 이런 자잘한 것만 고쳐주시면 더욱 재밌게 플레이할 수 있을 것 같아요ㅜ! 읽어주셔서 감사합니다,4
33,"스타듀밸리 너무 재밌게 하고 있는 유저입니다!@! 이번에 업데이트 되면서 더 재밌게 플레이 하고 있는데요 저만 그런지 모르겠지만 캐릭터나 시간 멈춤, 물이나 온실 바닥 이상 등등 오류가 조금 있더라구요! 오랜시간 끝에 한 업데이트 이기도 하고 , 많은 부분이 추가되기도 하다보니 오류가 생길수 있다고 생각이 듭니다! 이런 오류들은 차차 개선됬음 하는 바램입니다! 그럼 앞으로도 재밌게 플레이 하겠습니다🔥",5
34,"pc버전도 이미 하고 있었고 모바일로도 해보고 싶었는데 구매 후 후회 없이 재밌게 플레이하고 있습니다. 모바일로 스타듀밸리를 처음 접해보시는 분들은 무조건 재밌게 즐기실 수 있을 것 같고, pc버전을 먼저 접하신 분들도 컨트롤만 익숙해지시면 재밌게 즐기실 수 있을 것 같아요. 다만 pc버전 스타듀밸리로에서는 이미 해결된 한국어 오류들(몇몇 단어가 *로 뜹니다. 별방울 → *방울)과 사막 클럽에서의 치 코인 도박이 게임 중간에 나가서 영어 버전으로 바꿔야만 작동하는(...) 오류들은 해결이 불가능한 문제인가요? 한국어 오류는 게임 진행 시 크게 문제가 되는 요소는 아니지만 치 코인 도박은 너무 불편합니다. :( 인터넷에 찾아보니 예전부터 발생한 오류인 것 같은데... 여러 가지 오류들이 고쳐져서 완전한 스타듀밸리를 즐기고 싶어요.",4
35,힐링도 되고 스토리도 재밌고 여러모로 정말 만족스러운 게임입니다. 하지만 모바일에서는 자꾸 오류로 스토리 진행이 안되고 멈춰있는 상태가 자주 생깁니다. 캐릭터들이 숨을 쉬는 것 때문에 생기는 작은 미동은 있는데 거기서 움직일 수도 없고 오직 스킵 버튼만 누를 수 있어 자꾸 어쩔 수 없이 이벤트를 건너뛰어야만 하고 게임을 껐다 키면 하루를 다시 시작해야합니다. 이 점이 일어나는 이벤트의 8할 정도를 건너뛸 수 밖에 없게 하기에 큰 문제라고 생각합니다. 이 외에는 다 괜찮으니 제발 고쳐주셨으면 합니다... 참고로 전 갤럭시 노트8 쓰고 있고 저장용량도 3분의 2도 안 썼습니다,4
36,제가 해본 게임중 단언컨대 최고의 힐링게임 게임 내에서의 정해진 목표가 아닌 내가 원하는 방향 어디로든 갈수 있으며 존재하는 Npc들의 각각의 캐릭터성(개성)을 정말 잘살리다 못해 다른 사람이라고 해도 믿을정도. 농경 시스템과 가축시스템의 설정 또한 완벽. 기본적으로 아이템들을 어떻게 사용하는지 에 대해 조금만 찾거나 대부분 설명이 되있어서 매우 친절한 게임이다,5
37,"정말... 시간 가는줄 모르고 합니다. 조금 고이기 시작하면 노가다성이 좀 심해지지만 캐릭터들 호감도 올리는 재미들도 쏠쏠하고, 무엇보다 편견 없이 모든 캐릭터와 결혼할 수 있는 시스템은 개인적으로 너무 마음에 들었습니다. 다만 PC버전처럼, 같이 플레이할 수 있는 기능이 나오면 더할 나위 없이 좋겠네요. 어쨌든 다시 없을 명작이라고 생각합니다. 한 가지 단점이라면 모드 없이는 낚시가 매우매우 힘들다는 점입니다. 또한 모바일의 경우 모드 추가도 정말 힘들구요. 낚시 컨텐츠가 개선되면 좀 더 좋을 것 같긴 합니다.",5
38,"늘 항상 버그 해결과 재밌는 플레이를 위해 힘써주셔서 감사합니다😊 우선 제가 버그라고 느끼는 것은 많은 분들이 겪은 검은 선이 여러 맵속에 나타나는 것이 있구요. 또 설정에서 날씨상자, 인벤토리사이즈를 조정했음에도 불구하고 게임을 킬때 사이즈가 돌아와 설정을 들어갔다 나와야 조정한대로 사이즈가 돌아오는 문제가 있습니다. 또 제가 운이 안좋아서 그럴지는 모르겠지만 진저섬 화산에서 낚시로 호두를 5개 얻을 수 있다는데 저는 2~3개 이후로 3일 내내 화산에서 낚시만 했는데 호두를 얻을 수 없었습니다.. 운이 안좋은 걸 수도 있겠지만 혹시나 확인 부탁드려요☺️ 마지막으로 처음 게임을 킬때 불러오기, 새 게임 버튼이 너무 커진 것 같습니다. 또 게임할때 대화상자가 큰것같아 조정을 해주시거나 저희가 조절할 수 있게 해주시면 감사하겠습니다! 언제나 재밌는 게임 감사합니다!",5
39,평소 컴퓨터 업데이트사항이 모바일은 안돼서 아쉬웠는데 업데이트해서 이제 나도 컴퓨터에서 하는거 모바일에서도 즐길줄알고 기분좋게들어갔는데...ㅎ..게시판 창커서 완료안눌러지고.. 화면깨지고..컴퓨터처럼 ui 줄이는설정을 만들던가 냅다 이런식으로 업데이트하면 모바일로 플레이를 하라는건지 말라는건지 모르겠네요..업데이트 하시는분은 플레이를 한번도 안하고 업데이트하시는지 궁금하네요^^;;,2
40,"업데이트 되었다길래 다시 시작해보는데 대화창 크기가 너무 커져서 캐릭을 다 가려버리네요. 심지어 이건 툴박스 처럼 사이즈 조절도 불가능하게 해놨고 게임패드로 플레이시 몇몇 이벤트에서 A버튼으로 대화진행이 아니라 이벤트 스킵이 되어버림.(마을회관 첫 이벤트, 마법사 첫만남 등) 이벤트 스킵은 했던 사람이니까 눈치챈거지 처음하는 사람들은 황당함 밖에 안남을듯.",3
41,"다 좋은데 대화창,티비 글자 크기가 너무 커요..오랜만에 다시 설치해서 플레이 한거라 제가 잘 몰라서 그러는건가 했는데 다른분들 리뷰보니 원래 이렇게 설정되어 있는 것 같네요..예전에는 적당해서 좋았는데 지금은 너무 크네요ㅠ 그리고 작은 오류가 잦은 편이라 이것도 불편하네요..다른분들 리뷰보니 이제는 전화기도 사용 가능한 것 같은데 글자크기나 오류가 계속 문제점으로 남아있으면 게임할 때 좀 스트레스 받을 것 같아요..",4
42,"정말 재미있고 힐링도 되는 좋은게임이지만 사소한 버그가 있네요. 새총을 사용할 때 캐릭터가 멈춰서 아무것도 못하게 되기도 하고, 어떤 꽃들은 상자에 있을 때 수량이 표시가 되지 않기도 해요 이러한 점들이 수정되었으면 좋겠고 pc에서처럼 양식장에서 물고기들을 키울 수 있다면 좋겠습니다. 매일 이게임으로 인해 행복합니다 감사해요!",4
43,모바일 출시했을때 샀던 유저입니다 재밌게 플레이하고있습니다 고칠점을 생각해봤읍니다 1.외형입니다:(PC) 스타듀밸리와( 모바일)스타듀밸리의 사람들의 외형이 갑자기 변하여 놀랐습니다 1개로 통일하면 좋겠습니다 2.멀티입니다:PC는 멀티가 되지만 모바일은 멀티 기능이 없습니다 이게 쫌 아쉽네요 3.확장 모드 입니다:PC에는 확장 모드가 있어 마을이 확장이 되고 새로운 사람들이 추가가 되었다는 점에서 좋지만 모바일에서도 가능했으면 좋겠네요!,4
44,"도박이 안되는 이유가 뭔가요ㅠㅠ 몇가지만 고치면 더 완벽할 수 있는 게임 고쳐야 할 점 1. 화면 축소값, 확대값 유지 : 화면을 축소하고 플레이 하는데 이벤트가 실행되면 다시 화면이 확대가 되어서 또 축소해야 하는 번거로움 2. 멀티기능 추가 3. 이름 수정 기능 추가 : 금액을 지불해서라도 캐릭터와 농장 이름을 수정할 수 있게 해주면 더 좋을 것 같다 4. 게임 컨트롤러 설정 기능 : 터치 플레이가 아닌 블루투스로 게임 컨트롤러를 연결해서 사용하는 사용자들이 존재함 사용자의 스타일에 맞게 이용할 수 있도록 버튼 커스텀을 할 수 있게 한다면 더 좋을 것 같다 5. npc들과 소통하고 교류하는 걸 늘리자 소통, 교류 이벤트가 적어서 게임할 때 외로움",3
45,"진짜 너무 재밌어요! 4~5주 정도 했는데 제 본계가 어느새 130시간 플레이를 달성하였고 심심하거나 시간 나면 이거 하면서 시간을 보내곤 해요 그만큼 너무 재밌어요! 그리고 스타듀밸리 하실 분들은 컴퓨터와 모바일 중에서 컴퓨터로 하는 것을 추천 드립니다 :D 모바일 유저로써 컴퓨터로 스타듀밸리 하는 사람들이 되게 부럽더라구요..ㅎ 컴퓨터로 할 시에는 멀티 플레이가 가능, 스타듀밸리 버전 업데이트를 빨리 즐길 수 있음, 모드, 리텍 쉽게 낄 수 있음으로 모바일과 차이가 좀 많이 나긴 하지만 그래도 재밌게 잘 즐기고 있습니다! :)",5
46,정말 재밌는데 pc버전에서 씨앗을 드래그로 심을 수 있는 것 처럼 모바일도 편하게 심을 수 있었으면 좋겠네요. 업데이트 되기 전에는 씨앗 심는 게 편했는데 최근에 업데이트를 하고 나니 살짝 불편한 감이 있습니다. pc버전과 비슷하게 업데이트를 하셨는데 드래그를 못하는 모바일은 더 불편해졌어요..ㅠ,4
47,게임은 완전 힐링되고 재밌는데 버그가 너무 만아요 예를들어 무언가를 실행하면 연속으로 실행되서 2일 연속으로 탈진되고 또 무언가를 실행하고 나면 캐릭터가 잠깐 멈쳐요딴건 되는데ㅠㅠ 제발 이런 버그들좀 고쳐주세요ㅠㅠ 너무재밌게 하고있는데 이것만 고치면 너무 좋을거같아요 그리고 지도를 봐도 지도도 가끔 캐릭터 표시가 잘 안되는데 지도에 장소를 클릭하면 길을 알려주거나 화살표로 표시되면 좋겠어요,5
48,"업데이트 하고 오류가 몇 개 생겼네요😥 터치도 이전보다 잘 안 먹히고, 주민들과 대화할 때 선택지가 제한되는 경우가 있어요. 그리고 대화상자나 글씨 크기가 너무 커서 조정하고싶은데 설정에 글씨 크기 조정 메뉴는 없네요:( 항상 재미있게 하고있어요 빠른 수정 부탁드립니다!",4
49,"게임에 컨텐츠에는 만족하지만 모바일의 경우는 조작이 불편합니다. 하지만 모바일이다보니 이점은 어쩔수가 없네요, 그리고 멀티가되었으면 좋겠네요 혼자게임을 하다보니 '점점 지루해진다'라는 생각을 합니다, 그러다보니 게임을 사용하지 않게 됩니다. pc버전처럼 모바일 버전도 멀티가 가능 할수있도록 부탁드립니다. 오래걸려도 문제 없으니 멀티만 가능하게 해주시면 감사하겠습니다.",3
50,재밌게 하고 있어요! 다만 모바일 업데이트가 얼른 되었음 좋겠네요ㅠㅠ Tip) 애완동물 때문에 집 입구서 못 들어가시는 분들은 진행방향쪽을 오래 누르면 지나갈 수 있습니다. 슬라임 장에서도 슬라임들에 둘러 쌓였을때 같은 방식으로 슬라임 사이에서 죽이지 않고 나올 수 있어요.,5
51,재밌어요 힐링 게임중에서 가장 재밌는 것 같아요 다만 아쉬운점이 몇가지 있어요 1. 스토리가 나오는데 화면이 다른 곳을 보고 있어요 2.사막에 있는 도박이 안되는 것 같아요 폰도 이미 바꿨어서 저의 폰 문제는 아닌 것 같고 새롭게 시작해도 안됬어요 당연히 카드를 얻은 상태입니다 3.리텍이나 모드를 더 쉽게 할수있었으면 좋겠어요 마크처럼 리텍이나 모드를 다운 받고 클릭 몇번으로 하면 좋겠어요 빼기 쉬우면 더 좋고요 4.폰을 바꾸면 이전에 했던 것이 날아가고 다시 처음부터 해야하는게 아쉬워요 평생 이폰을 쓸수도 없는데... 혹시 방법이 있다면 알려주시면 감사하겠습니다,4
